,competition,gsm_id,kickoffDate,kickoffTime,hometeam_team1,awayteam_team2,icon,chanceRating,team,type,time,player,location_x,location_y,bodyPart,shotQuality,defPressure,numDefPlayers,numAttPlayers,outcome,primaryPlayer,primaryType,primaryLocation_x,primaryLocation_y,secondaryPlayer,secondaryType
32573,EngPr,2463046,2018-02-03,15:00:00,Brighton & Hove Albion,West Ham United,goodchance,goodchance,Brighton & Hove Albion,Open Play,26:36,A. Knockaert,9.0,40.0,Left,2,2,2,0,Defended,G. Bong,Cross Low,72.0,33.0,P. Gross,Open Play Pass
32572,EngPr,2463046,2018-02-03,15:00:00,Brighton & Hove Albion,West Ham United,goodchance,goodchance,Brighton & Hove Albion,Open Play,31:47,A. Knockaert,16.0,49.0,Left,2,3,4,1,Missed,J. Izquierdo,Cross Low,111.0,6.0,P. Gross,Open Play Pass
32571,EngPr,2463046,2018-02-03,15:00:00,Brighton & Hove Albion,West Ham United,poorchance,poorchance,Brighton & Hove Albion,Open Play,34:28,A. Knockaert,10.0,91.0,Left,2,1,3,0,Missed,G. Murray,Open Play Pass,36.0,54.0,G. Bong,Cross High
32570,EngPr,2463046,2018-02-03,15:00:00,Brighton & Hove Albion,West Ham United,goodchance,goodchance,Brighton & Hove Albion,Open Play,38:12,L. Dunk,19.0,21.0,Head,1,5,6,3,Missed,P. Gross,Corner,135.0,1.0,-,-
32569,EngPr,2463046,2018-02-03,15:00:00,Brighton & Hove Albion,West Ham United,verygoodchance,verygoodchance,West Ham United,Open Play,39:44,Joao Mario,6.0,33.0,Right,1,3,1,0,Missed,A. Cresswell,Cross High,128.0,85.0,C. Kouyate,Open Play Pass
32568,EngPr,2463046,2018-02-03,15:00:00,Brighton & Hove Albion,West Ham United,verygoodchance,verygoodchance,West Ham United,Open Play,41:10,S. Byram,-15.0,33.0,Head,2,3,2,0,Missed,A. Cresswell,Cross High,117.0,10.0,M. Noble,Open Play Pass
32546,EngPr,2463051,2018-02-03,15:00:00,Manchester United,Huddersfield Town,verygoodchance,verygoodchance,Manchester United,Open Play,07:38,J. Lingard,20.0,66.0,Left,3,3,1,0,Saved,A. Sanchez,Open Play Pass,-11.0,193.0,N. Matic,Open Play Pass
32545,EngPr,2463051,2018-02-03,15:00:00,Manchester United,Huddersfield Town,fairlygoodchance,fairlygoodchance,Manchester United,Open Play,05:36,C. Smalling,35.0,31.0,Right,2,3,3,0,Defended,Mata,Corner,-136.0,0.0,J. Lingard,Corner Won
32544,EngPr,2463051,2018-02-03,15:00:00,Manchester United,Huddersfield Town,poorchance,poorchance,Manchester United,Open Play,33:12,J. Lingard,-24.0,98.0,Right,3,3,3,0,Saved,A. Sanchez,Open Play Pass,11.0,156.0,J. Lingard,Open Play Pass
32515,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,goodchance,goodchance,Manchester City,Dangerous Moment,29:06,I. Gundogan,32.0,36.0,Left,0,2,2,0,Defended,R. Sterling,Open Play Pass,12.0,70.0,K. De Bruyne,Open Play Pass
32522,EngPr,2463049,2018-02-03,15:00:00,Leicester City,Swansea City,fairlygoodchance,fairlygoodchance,Leicester City,Open Play,83:31,D. Gray,20.0,51.0,Right,2,4,4,1,Defended,H. Maguire,Open Play Pass,-47.0,37.0,C. Fuchs,Throw in
32521,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,poorchance,poorchance,Manchester City,Open Play,83:52,Bernardo Silva,-37.0,96.0,Left,2,2,4,1,Missed,K. Walker,Open Play Pass,-96.0,97.0,Bernardo Silva,Open Play Pass
32520,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,goodchance,goodchance,Burnley,Open Play,76:26,K. Long,4.0,29.0,Head,2,4,4,1,Missed,J. Gudmundsson,Corner,-136.0,0.0,A. Lennon,Corner Won
32519,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,verygoodchance,verygoodchance,Manchester City,Open Play,48:01,S. Aguero,44.0,26.0,Left,3,3,1,0,Saved,K. De Bruyne,Open Play Pass,-80.0,192.0,R. Sterling,Open Play Pass
32518,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,goodchance,goodchance,Manchester City,Dangerous Moment,38:11,S. Aguero,6.0,38.0,Other,0,2,1,0,Defended,K. De Bruyne,Shot (Deflection),-12.0,89.0,I. Gundogan,Open Play Pass
32517,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,verygoodchance,verygoodchance,Burnley,Open Play,36:21,B. Mee,12.0,24.0,Head,2,4,2,1,Missed,J. Gudmundsson,Corner,-136.0,1.0,J. Hendrick,Corner Won
32516,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,verygoodchance,verygoodchance,Burnley,Open Play,30:52,B. Mee,-7.0,51.0,Left,3,2,1,0,Saved,J. Cork,Open Play Pass,62.0,101.0,-,-
32514,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,fairlygoodchance,fairlygoodchance,Manchester City,Open Play,28:04,R. Sterling,52.0,68.0,Right,3,3,2,0,Saved,S. Aguero,Open Play Pass,25.0,180.0,V. Kompany,Open Play Pass
32524,EngPr,2463049,2018-02-03,15:00:00,Leicester City,Swansea City,poorchance,poorchance,Leicester City,Open Play,62:52,J. Vardy,-92.0,40.0,Right,1,3,1,0,Missed,Adrien Silva,Open Play Pass,-103.0,285.0,W. Ndidi,Open Play Pass
32513,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,fairlygoodchance,fairlygoodchance,Manchester City,Open Play,24:59,S. Aguero,35.0,51.0,Right,2,3,2,0,Defended,R. Sterling,Open Play Pass,30.0,181.0,-,-
32512,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,verygoodchance,verygoodchance,Manchester City,Dangerous Moment,20:17,I. Gundogan,-12.0,30.0,Right,0,2,1,0,Defended,K. Walker,Cross Low,-84.0,75.0,Bernardo Silva,Open Play Pass
32511,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,poorchance,poorchance,Manchester City,Open Play,17:27,R. Sterling,15.0,129.0,Right,2,3,2,0,Saved,-,-,-,-,-,-
32510,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,greatchance,greatchance,Manchester City,Open Play,13:46,V. Kompany,7.0,16.0,Head,2,2,1,0,Missed,Bernardo Silva,Cross High,-72.0,94.0,Danilo,Open Play Pass
32509,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,poorchance,poorchance,Manchester City,Open Play,13:12,K. De Bruyne,-46.0,82.0,Right,3,2,4,1,Defended,-,-,-,-,-,-
32508,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,fairlygoodchance,fairlygoodchance,Manchester City,Open Play,05:19,V. Kompany,12.0,42.0,Head,2,4,3,0,Saved,N. Otamendi,Open Play Pass,-36.0,32.0,K. De Bruyne,Corner
32507,EngPr,2463047,2018-02-03,12:30:00,Burnley,Manchester City,verygoodchance,verygoodchance,Manchester City,Open Play,47:28,S. Aguero,26.0,32.0,Left,2,2,2,0,Defended,R. Sterling,Open Play Pass,59.0,77.0,I. Gundogan,Open Play Pass
32523,EngPr,2463049,2018-02-03,15:00:00,Leicester City,Swansea City,goodchance,goodchance,Leicester City,Open Play,63:45,F. Diabate,-7.0,53.0,Left,2,2,2,0,Missed,J. Vardy,Cross Low,-78.0,19.0,F. Diabate,Open Play Pass
32543,EngPr,2463051,2018-02-03,15:00:00,Manchester United,Huddersfield Town,fairlygoodchance,fairlygoodchance,Huddersfield Town,Open Play,35:30,L. Depoitre,-20.0,46.0,Right,2,4,4,2,Defended,F. Hadergjonaj,Corner,-136.0,1.0,T. Smith,Corner Won
32535,EngPr,2463051,2018-02-03,15:00:00,Manchester United,Huddersfield Town,goodchance,goodchance,Manchester United,Open Play,71:26,R. Lukaku,-10.0,40.0,Right,1,4,2,0,Missed,A. Valencia,Cross Low,-97.0,52.0,S. McTominay,Open Play Pass
32542,EngPr,2463051,2018-02-03,15:00:00,Manchester United,Huddersfield Town,goodchance,goodchance,Manchester United,Dangerous Moment,35:57,J. Lingard,-52.0,33.0,Right,0,3,1,0,Defended,A. Valencia,Open Play Pass,-119.0,163.0,R. Lukaku,Open Play Pass
32541,EngPr,2463051,2018-02-03,15:00:00,Manchester United,Huddersfield Town,fairlygoodchance,fairlygoodchance,Huddersfield Town,Open Play,44:14,L. Depoitre,-25.0,22.0,Head,2,4,2,0,Defended,C. Quaner,Cross High,-75.0,12.0,T. Smith,Open Play Pass
32540,EngPr,2463051,2018-02-03,15:00:00,Manchester United,Huddersfield Town,fairlygoodchance,fairlygoodchance,Huddersfield Town,Open Play,44:52,R. van La Parra,10.0,83.0,Right,1,2,4,2,Defended,-,-,-,-,-,-
32539,EngPr,2463051,2018-02-03,15:00:00,Manchester United,Huddersfield Town,verygoodchance,verygoodchance,Manchester United,Open Play,46:43,A. Sanchez,14.0,33.0,Left,2,4,2,0,Defended,R. Lukaku,Open Play Pass,14.0,58.0,A. Sanchez,Open Play Pass
32538,EngPr,2463051,2018-02-03,15:00:00,Manchester United,Huddersfield Town,fairlygoodchance,fairlygoodchance,Manchester United,Open Play,47:56,A. Valencia,-15.0,85.0,Left,3,2,5,2,Defended,J. Lingard,Open Play Pass,38.0,90.0,A. Sanchez,Open Play Pass
32537,EngPr,2463051,2018-02-03,15:00:00,Manchester United,Huddersfield Town,fairlygoodchance,fairlygoodchance,Manchester United,Open Play,48:22,A. Sanchez,26.0,62.0,Right,3,2,4,2,Defended,-,-,-,-,-,-
32536,EngPr,2463051,2018-02-03,15:00:00,Manchester United,Huddersfield Town,fairlygoodchance,fairlygoodchance,Manchester United,Open Play,64:40,R. Lukaku,-3.0,49.0,Head,1,3,2,0,Missed,Mata,Cross High,90.0,100.0,L. Shaw,Open Play Pass
32534,EngPr,2463051,2018-02-03,15:00:00,Manchester United,Huddersfield Town,poorchance,poorchance,Manchester United,Open Play,72:21,P. Pogba,56.0,98.0,Right,2,2,2,0,Missed,A. Sanchez,Open Play Pass,64.0,184.0,N. Matic,Open Play Pass
32526,EngPr,2463049,2018-02-03,15:00:00,Leicester City,Swansea City,poorchance,poorchance,Swansea City,Open Play,57:43,S. Clucas,-9.0,56.0,Head,1,2,2,0,Missed,M. van der Hoorn,Cross High,-83.0,124.0,T. Carroll,Open Play Pass
32533,EngPr,2463049,2018-02-03,15:00:00,Leicester City,Swansea City,fairlygoodchance,fairlygoodchance,Leicester City,Open Play,92:39,M. Albrighton,-55.0,44.0,Right,1,3,4,2,Defended,C. Fuchs,Throw in,-136.0,31.0,-,-
32532,EngPr,2463049,2018-02-03,15:00:00,Leicester City,Swansea City,fairlygoodchance,fairlygoodchance,Leicester City,Open Play,76:29,H. Maguire,33.0,13.0,Head,2,4,1,0,Missed,M. Albrighton,Free Kick,-60.0,105.0,F. Diabate,Free Kick Won
32531,EngPr,2463049,2018-02-03,15:00:00,Leicester City,Swansea City,greatchance,greatchance,Leicester City,Open Play,72:49,D. Gray,15.0,32.0,Right,1,2,1,0,Missed,C. Fuchs,Cross Low,113.0,14.0,W. Ndidi,Open Play Pass
32530,EngPr,2463049,2018-02-03,15:00:00,Leicester City,Swansea City,greatchance,greatchance,Leicester City,Open Play,28:31,K. Iheanacho,-3.0,31.0,Left,2,2,2,0,Defended,F. Diabate,Shot (Opposition Rebound),44.0,29.0,K. Iheanacho,Open Play Pass
32529,EngPr,2463049,2018-02-03,15:00:00,Leicester City,Swansea City,poorchance,poorchance,Leicester City,Open Play,23:25,M. Albrighton,-4.0,114.0,Right,3,2,2,0,Saved,-,-,-,-,-,-
32528,EngPr,2463049,2018-02-03,15:00:00,Leicester City,Swansea City,poorchance,poorchance,Leicester City,Open Play,53:42,H. Maguire,36.0,51.0,Head,1,4,3,0,Missed,M. Albrighton,Free Kick,-123.0,124.0,-,-
32527,EngPr,2463049,2018-02-03,15:00:00,Leicester City,Swansea City,poorchance,poorchance,Leicester City,Open Play,55:48,K. Iheanacho,5.0,103.0,Left,2,2,3,0,Saved,M. Albrighton,Open Play Pass,46.0,152.0,H. Maguire,Open Play Pass
32525,EngPr,2463049,2018-02-03,15:00:00,Leicester City,Swansea City,fairlygoodchance,fairlygoodchance,Swansea City,Open Play,61:51,S. Clucas,-7.0,57.0,Left,2,4,2,0,Defended,A. Mawson,Open Play Pass,73.0,96.0,Sung-Yeung Ki,Open Play Pass
32361,EngPr,2463038,2018-01-31,19:45:00,Everton,Leicester City,verygoodchance,verygoodchance,Everton,Open Play,86:08,S. Coleman,-43.0,48.0,Right,1,2,2,0,Missed,T. Walcott,Open Play Pass,-117.0,40.0,T. Davies,Open Play Pass
4356,EngPr,2463040,2018-01-31,19:45:00,Southampton,Brighton & Hove Albion,goal,Good,Southampton,Open Play,63:55,J. Stephens,4.0,15.0,Left,3,4,2,0,-,J. Ward-Prowse,Free Kick,104.0,48.0,S. Boufal,Free Kick Won
4357,EngPr,2463040,2018-01-31,19:45:00,Southampton,Brighton & Hove Albion,goal,Penalty,Brighton & Hove Albion,Penalty,13:52,G. Murray,0.0,44.0,Right,3,0,1,0,-,S. March,Penalty Earned,4.0,57.0,J. Izquierdo,Open Play Pass
4358,EngPr,2463037,2018-01-31,19:45:00,Chelsea,AFC Bournemouth,goal,Great,AFC Bournemouth,Open Play,66:07,N. Ake,-4.0,28.0,Right,3,1,1,0,-,J. Stanislas,Shot (Opposition Rebound),27.0,60.0,C. Wilson,Open Play Pass
4359,EngPr,2463037,2018-01-31,19:45:00,Chelsea,AFC Bournemouth,goal,Great,AFC Bournemouth,Open Play,50:08,C. Wilson,4.0,55.0,Right,3,1,1,0,-,J. Ibe,Open Play Pass,2.0,128.0,C. Wilson,Open Play Pass
4360,EngPr,2463037,2018-01-31,19:45:00,Chelsea,AFC Bournemouth,goal,Very Good,AFC Bournemouth,Open Play,63:09,J. Stanislas,45.0,31.0,Right,3,1,1,0,-,C. Wilson,Open Play Pass,30.0,100.0,J. Stanislas,Open Play Pass
4361,EngPr,2463041,2018-01-31,20:00:00,Manchester City,West Bromwich Albion,goal,Very Good,Manchester City,Open Play,18:55,Fernandinho,55.0,32.0,Left,3,3,1,0,-,K. De Bruyne,Open Play Pass,83.0,138.0,O. Zinchenko,Open Play Pass
4363,EngPr,2463041,2018-01-31,20:00:00,Manchester City,West Bromwich Albion,goal,Very Good,Manchester City,Open Play,88:35,S. Aguero,-59.0,27.0,Right,3,3,1,0,-,R. Sterling,Open Play Pass,-64.0,104.0,K. Walker,Open Play Pass
32494,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,poorchance,poorchance,Watford,Open Play,78:32,R. Pereyra,40.0,78.0,Right,2,3,3,0,Defended,A. Doucoure,Open Play Pass,7.0,137.0,R. Pereyra,Open Play Pass
32495,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,verygoodchance,verygoodchance,Watford,Open Play,83:23,R. Pereyra,26.0,42.0,Left,3,2,2,0,Saved,A. Doucoure,Open Play Pass,-7.0,37.0,T. Deeney,Open Play Pass
32496,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,fairlygoodchance,fairlygoodchance,Watford,Open Play,84:26,A. Doucoure,6.0,74.0,Right,1,2,4,1,Missed,Deulofeu,Turnover,-21.0,75.0,-,-
32497,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,goodchance,goodchance,Stoke City,Open Play,89:39,R. Shawcross,1.0,50.0,Head,3,3,2,1,Saved,X. Shaqiri,Corner,136.0,0.0,M. Bauer,Corner Won
119,EngPr,2463039,2018-01-31,19:45:00,Newcastle United,Burnley,penmissed,-,Newcastle United,Penalty Earned,33:32,Joselu,-,-,Right,2,-,-,-,Save,Kenedy,-,74.0,17.0,-,-
407,EngPr,2463038,2018-01-31,19:45:00,Everton,Leicester City,penawarded,Poor,Leicester City,[Holding],69:59,-,-,-,-,N/A,-,-,-,Penalty Awarded,-,-,-,-,-,-
408,EngPr,2463039,2018-01-31,19:45:00,Newcastle United,Burnley,penawarded,Poor,Newcastle United,[Tackle],32:46,-,-,-,-,N/A,-,-,-,Penalty Awarded,-,-,-,-,-,-
409,EngPr,2463040,2018-01-31,19:45:00,Southampton,Brighton & Hove Albion,penawarded,Fairly Good,Brighton & Hove Albion,[Tackle],12:59,-,-,-,-,N/A,-,-,-,Penalty Awarded,-,-,-,-,-,-
4355,EngPr,2463039,2018-01-31,19:45:00,Newcastle United,Burnley,goal,Great,Newcastle United,Open Play,64:33,J. Lascelles,-23.0,13.0,Head,3,2,3,0,-,Kenedy,Corner,-136.0,1.0,Kenedy,Corner Won
4354,EngPr,2463038,2018-01-31,19:45:00,Everton,Leicester City,goal,Great,Everton,Open Play,38:08,T. Walcott,-30.0,15.0,Right,3,3,1,0,-,M. Keane,Open Play Pass,29.0,44.0,W. Rooney,Cross High
4353,EngPr,2463038,2018-01-31,19:45:00,Everton,Leicester City,goal,Great,Everton,Open Play,24:13,T. Walcott,11.0,34.0,Right,3,1,1,0,-,G. Sigurdsson,Cross Low,-70.0,19.0,R. Martina,Turnover
4352,EngPr,2463038,2018-01-31,19:45:00,Everton,Leicester City,goal,Penalty,Leicester City,Penalty,70:46,J. Vardy,0.0,44.0,Right,3,0,1,0,-,W. Ndidi,Penalty Earned,-63.0,54.0,-,-
4362,EngPr,2463041,2018-01-31,20:00:00,Manchester City,West Bromwich Albion,goal,Superb,Manchester City,Open Play,67:51,K. De Bruyne,15.0,47.0,Left,3,3,0,0,-,R. Sterling,Open Play Pass,47.0,34.0,K. De Bruyne,Open Play Pass
4364,EngPr,2463043,2018-01-31,20:00:00,Tottenham Hotspur,Manchester United,goal,Great,Tottenham Hotspur,Open Play,00:11,C. Eriksen,-18.0,31.0,Left,3,0,1,0,-,-,-,-,-,-,-
32488,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,goodchance,goodchance,Watford,Open Play,00:58,S. Prodl,-41.0,47.0,Left,3,2,3,0,Saved,-,-,-,-,-,-
32434,EngPr,2463037,2018-01-31,19:45:00,Chelsea,AFC Bournemouth,poorchance,poorchance,Chelsea,Open Play,79:01,E. Hazard,57.0,79.0,Left,2,2,3,0,Defended,Fabregas,Open Play Pass,27.0,154.0,G. Cahill,Open Play Pass
32435,EngPr,2463037,2018-01-31,19:45:00,Chelsea,AFC Bournemouth,goodchance,goodchance,Chelsea,Open Play,92:17,E. Hazard,7.0,55.0,Right,2,1,3,0,Missed,Marcos Alonso,Cross High,110.0,52.0,E. Hazard,Open Play Pass
32436,EngPr,2463041,2018-01-31,20:00:00,Manchester City,West Bromwich Albion,verygoodchance,verygoodchance,Manchester City,Open Play,51:44,S. Aguero,-13.0,27.0,Right,2,2,1,0,Saved,K. Walker,Cross Low,-90.0,32.0,Bernardo Silva,Open Play Pass
32437,EngPr,2463041,2018-01-31,20:00:00,Manchester City,West Bromwich Albion,greatchance,greatchance,Manchester City,Open Play,46:27,R. Sterling,16.0,36.0,Right,1,2,3,0,Missed,I. Gundogan,Open Play Pass,-29.0,88.0,Bernardo Silva,Open Play Pass
32438,EngPr,2463041,2018-01-31,20:00:00,Manchester City,West Bromwich Albion,fairlygoodchance,fairlygoodchance,Manchester City,Open Play,30:35,K. De Bruyne,-2.0,72.0,Right,3,2,3,0,Woodwork,R. Sterling,Cross Low,66.0,20.0,David Silva,Open Play Pass
32439,EngPr,2463041,2018-01-31,20:00:00,Manchester City,West Bromwich Albion,greatchance,greatchance,Manchester City,Open Play,27:16,K. De Bruyne,-37.0,46.0,Right,2,2,1,0,Saved,S. Aguero,Open Play Pass,-47.0,146.0,K. Walker,Open Play Pass
32440,EngPr,2463041,2018-01-31,20:00:00,Manchester City,West Bromwich Albion,verygoodchance,verygoodchance,Manchester City,Dangerous Moment,23:26,S. Aguero,4.0,11.0,Right,0,2,0,0,Missed,David Silva,Cross Low,52.0,18.0,R. Sterling,Open Play Pass
32493,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,goodchance,goodchance,Stoke City,Open Play,63:57,P. Crouch,-15.0,17.0,Right,2,5,2,0,Defended,M. Diouf,Cross Low,-69.0,13.0,J. Allen,Open Play Pass
32492,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,verygoodchance,verygoodchance,Stoke City,Open Play,61:07,X. Shaqiri,16.0,50.0,Left,3,3,1,0,Saved,-,-,-,-,-,-
32491,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,poorchance,poorchance,Watford,Direct Corner,36:34,J. Holebas,-136.0,1.0,Left,0,0,2,0,Woodwork,A. Doucoure,Corner Won,41.0,24.0,J. Holebas,Free Kick
32490,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,fairlygoodchance,fairlygoodchance,Watford,Open Play,35:50,A. Doucoure,27.0,29.0,Head,1,3,1,0,Defended,J. Holebas,Free Kick,110.0,73.0,T. Cleverley,Free Kick Won
32489,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,verygoodchance,verygoodchance,Stoke City,Open Play,03:28,M. Diouf,15.0,34.0,Head,2,0,1,0,Missed,C. Adam,Cross High,-67.0,110.0,D. Fletcher,Open Play Pass
32487,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,fairlygoodchance,fairlygoodchance,Watford,Open Play,14:39,T. Cleverley,-16.0,89.0,Right,1,3,2,0,Missed,Richarlison,Open Play Pass,-36.0,50.0,T. Deeney,Open Play Pass
32473,EngPr,2463043,2018-01-31,20:00:00,Tottenham Hotspur,Manchester United,goodchance,goodchance,Tottenham Hotspur,Open Play,75:24,H. Kane,-36.0,44.0,Right,3,3,2,0,Defended,C. Eriksen,Open Play Pass,-53.0,116.0,M. Dembele,Open Play Pass
32486,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,fairlygoodchance,fairlygoodchance,Stoke City,Open Play,25:40,E. Choupo-Moting,57.0,31.0,Right,2,3,3,0,Missed,C. Adam,Shot (Opposition Rebound),54.0,45.0,X. Shaqiri,Open Play Pass
32485,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,fairlygoodchance,fairlygoodchance,Watford,Open Play,40:34,A. Doucoure,-2.0,75.0,Left,2,0,2,0,Saved,T. Cleverley,Open Play Pass,44.0,98.0,-,-
32484,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,verygoodchance,verygoodchance,Watford,Open Play,42:09,Richarlison,-9.0,30.0,Right,1,4,2,0,Missed,Deulofeu,Cross Low,-111.0,58.0,E. Capoue,Open Play Pass
32483,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,poorchance,poorchance,Stoke City,Direct Free-Kick,47:18,C. Adam,-68.0,108.0,Left,3,0,3,0,Saved,M. Diouf,Free Kick Won,-69.0,106.0,J. Butland,Open Play Pass
32482,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,fairlygoodchance,fairlygoodchance,Stoke City,Direct Free-Kick,54:16,X. Shaqiri,50.0,99.0,Left,2,0,6,2,Defended,C. Adam,Free Kick Won,49.0,96.0,M. Diouf,Open Play Pass
32481,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,fairlygoodchance,fairlygoodchance,Stoke City,Open Play,54:28,M. Bauer,-47.0,45.0,Right,2,4,4,1,Defended,-,-,-,-,-,-
32480,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,fairlygoodchance,fairlygoodchance,Watford,Open Play,55:59,Richarlison,-44.0,52.0,Left,2,3,3,0,Defended,Deulofeu,Open Play Pass,52.0,113.0,A. Doucoure,Open Play Pass
32479,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,fairlygoodchance,fairlygoodchance,Watford,Open Play,56:38,Deulofeu,-14.0,82.0,Right,1,2,3,0,Defended,T. Cleverley,Corner,135.0,2.0,Richarlison,Corner Won
32478,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,goodchance,goodchance,Stoke City,Open Play,57:31,J. Allen,23.0,49.0,Left,1,3,3,0,Missed,E. Choupo-Moting,Cross High,72.0,43.0,J. Allen,Open Play Pass
32477,EngPr,2463042,2018-01-31,20:00:00,Stoke City,Watford,verygoodchance,verygoodchance,Watford,Open Play,68:35,A. Doucoure,-6.0,42.0,Left,3,3,2,0,Defended,A. Gray,Open Play Pass,-70.0,25.0,T. Deeney,Open Play Pass
32476,EngPr,2463043,2018-01-31,20:00:00,Tottenham Hotspur,Manchester United,fairlygoodchance,fairlygoodchance,Tottenham Hotspur,Open Play,61:35,D. Alli,63.0,53.0,Right,2,3,2,0,Defended,H. Kane,Open Play Pass,-42.0,140.0,Heung-Min Son,Open Play Pass
32475,EngPr,2463043,2018-01-31,20:00:00,Tottenham Hotspur,Manchester United,goodchance,goodchance,Tottenham Hotspur,Open Play,93:34,E. Lamela,-35.0,45.0,Right,1,4,2,0,Missed,C. Eriksen,Open Play Pass,-87.0,120.0,H. Kane,Open Play Pass
32433,EngPr,2463037,2018-01-31,19:45:00,Chelsea,AFC Bournemouth,goodchance,goodchance,Chelsea,Open Play,76:01,T. Bakayoko,12.0,35.0,Head,2,2,3,1,Defended,Marcos Alonso,Cross High,114.0,43.0,Pedro,Open Play Pass
32432,EngPr,2463037,2018-01-31,19:45:00,Chelsea,AFC Bournemouth,poorchance,poorchance,Chelsea,Open Play,73:27,Pedro,-26.0,90.0,Left,1,1,1,0,Missed,Fabregas,Open Play Pass,-62.0,278.0,Azpilicueta,Open Play Pass
32431,EngPr,2463037,2018-01-31,19:45:00,Chelsea,AFC Bournemouth,fairlygoodchance,fairlygoodchance,Chelsea,Open Play,72:18,Pedro,36.0,58.0,Left,3,2,3,0,Saved,E. Hazard,Open Play Pass,57.0,104.0,T. Bakayoko,Open Play Pass
32430,EngPr,2463037,2018-01-31,19:45:00,Chelsea,AFC Bournemouth,verygoodchance,verygoodchance,Chelsea,Open Play,71:48,Pedro,22.0,17.0,Head,3,1,2,0,Defended,E. Hazard,Cross High,78.0,15.0,Fabregas,Open Play Pass
32406,EngPr,2463040,2018-01-31,19:45:00,Southampton,Brighton & Hove Albion,fairlygoodchance,fairlygoodchance,Southampton,Open Play,44:07,J. Ward-Prowse,15.0,58.0,Right,2,4,2,0,Defended,D. Tadic,Open Play Pass,-8.0,58.0,S. Long,Open Play Pass
32407,EngPr,2463040,2018-01-31,19:45:00,Southampton,Brighton & Hove Albion,poorchance,poorchance,Brighton & Hove Albion,Open Play,45:45,S. March,52.0,41.0,Left,1,4,3,0,Defended,J. Izquierdo,Open Play Pass,58.0,54.0,G. Murray,Open Play Pass
32408,EngPr,2463040,2018-01-31,19:45:00,Southampton,Brighton & Hove Albion,greatchance,greatchance,Southampton,Open Play,53:20,J. Stephens,-6.0,32.0,Head,2,1,1,0,Missed,J. Ward-Prowse,Cross High,102.0,90.0,S. Davis,Open Play Pass
32409,EngPr,2463040,2018-01-31,19:45:00,Southampton,Brighton & Hove Albion,poorchance,poorchance,Brighton & Hove Albion,Open Play,85:27,S. March,64.0,52.0,Left,2,4,2,0,Defended,-,-,-,-,-,-
32410,EngPr,2463040,2018-01-31,19:45:00,Southampton,Brighton & Hove Albion,poorchance,poorchance,Southampton,Open Play,92:39,S. Davis,-34.0,112.0,Right,3,4,3,0,Saved,-,-,-,-,-,-
32411,EngPr,2463037,2018-01-31,19:45:00,Chelsea,AFC Bournemouth,fairlygoodchance,fairlygoodchance,Chelsea,Open Play,88:36,C. Hudson-Odoi,58.0,46.0,Right,3,3,5,0,Saved,N. Kante,Open Play Pass,15.0,88.0,-,-
32412,EngPr,2463037,2018-01-31,19:45:00,Chelsea,AFC Bournemouth,goodchance,goodchance,Chelsea,Open Play,87:43,A. Rudiger,9.0,48.0,Head,2,3,6,1,Saved,Fabregas,Corner,-136.0,0.0,-,-
